USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2022-08-03,247.421702753,0.06750178981,135.733031014,383.222235557
2022-08-04,249.946536791,0.06821330477,135.011803344,385.02655344
2022-08-05,288.259446338,0.06479812183,136.500556628,424.824801087
2022-08-06,262.382564607,0.06952040615,175.789334822,438.241419835
2022-08-07,244.591038203,0.07345731495,192.226936225,436.891431742
2022-08-08,248.593601186,0.07472796886,191.421512588,440.089841742
2022-08-09,249.50745623,0.07564497113,190.756104187,440.339205388
2022-08-10,247.138729779,0.07998737659,190.504891455,437.72360861
2022-08-11,251.353689546,0.07705325712,189.316785363,440.747528166
2022-08-12,250.534017292,0.0768535455,189.482978455,440.093849293
2022-08-13,248.198510385,0.07734630996,150.742128329,399.017985025
2022-08-14,250.18581507,0.0812608975,134.58854922,384.855625187
2022-08-15,257.894630885,0.08012141989,136.503858339,394.478610643
2022-08-16,251.51987802,0.09682999476,143.277624052,394.894332067
2022-08-17,249.958228411,0.1012205396,142.369439402,392.428888353
2022-08-18,249.915279009,0.1017019953,143.093703007,393.110684011
2022-08-19,249.103686616,0.1017346827,141.225228588,390.430649887
2022-08-20,247.780099267,0.1013438339,138.959498762,386.840941863
2022-08-21,248.115924666,0.1012563812,137.939829669,386.157010716
2022-08-22,252.845539077,0.1032621188,135.705595576,388.654396772
2022-08-23,251.08353074,0.1109452933,129.446494537,380.64097057
2022-08-24,249.335354784,0.1113643706,127.467612855,376.914332009
2022-08-25,249.667921282,0.1193211614,124.975692111,374.762934554
2022-08-26,249.997631688,0.1205963432,122.437155409,372.55538344
2022-08-27,248.65748676,0.1192341101,121.212394383,369.989115253
2022-08-28,248.424432546,0.1126941504,119.797388067,368.334514764
2022-08-29,252.92333416,0.1075224556,118.271228438,371.302085054
2022-08-30,254.001677881,0.1896494496,116.726181259,370.917508589
2022-08-31,250.532684022,0.1913096185,117.581580439,368.305574079
2022-09-01,253.050903476,0.1096528176,116.781628842,369.942185135
2022-09-02,252.007187069,0.1121332398,118.351533521,370.47085383
2022-09-03,250.549016922,0.1153450295,117.765064784,368.429426736
2022-09-04,252.420720247,0.1158000301,117.63339136,370.169911636
2022-09-05,258.69730439,0.116965342,119.027584217,377.841853949
2022-09-06,255.743310417,0.1156451948,122.323057256,378.182012868
2022-09-07,252.885382009,0.1168436468,123.532949973,376.535175629
2022-09-08,255.84570141,0.1169900747,124.836372463,380.799063948
2022-09-09,257.615390894,0.1131793978,126.926045743,384.654616035
2022-09-10,253.310572165,0.1134506825,132.575425404,385.999448251
